import time: self [us] | cumulative | imported package
import time:     17203 |      17203 |                   mashumaro.config
import time:     18562 |      18562 |                   mashumaro.core.helpers
import time:     18584 |      18584 |                   mashumaro.core.meta.code.lines
import time:     22316 |      22316 |                     mashumaro.core.meta.types
import time:     27026 |      49341 |                   mashumaro.core.meta.types.common
import time:       654 |        654 |                         sysconfig
import time:       733 |        733 |                         _sysconfigdata__linux_x86_64-linux-gnu
import time:       622 |       2009 |                       zoneinfo._tzpath
import time:       198 |        198 |                       zoneinfo._common
import time:       131 |        131 |                       _zoneinfo
import time:       453 |       2789 |                     zoneinfo
import time:      1128 |       1128 |                     fractions
import time:     18760 |      22677 |                   mashumaro.core.meta.types.pack
import time:       154 |        154 |                     ciso8601
import time:        91 |         91 |                     pendulum
import time:     20253 |      20497 |                   mashumaro.core.meta.types.unpack
import time:     21924 |     197916 |                 mashumaro.core.meta.code.builder
import time:     21366 |     219281 |               mashumaro.core.meta.mixin
import time:     28000 |     271934 |             mashumaro.mixins.dict
import time:     24077 |     513762 |           mashumaro
import time:        27 |     513788 |         mashumaro.config
import time:     14093 |      14093 |                   pydantic_core._pydantic_core
import time:       191 |        191 |                             concurrent
import time:        68 |         68 |                                 atexit
import time:      2269 |       2336 |                               logging
import time:       621 |       2957 |                             concurrent.futures._base
import time:       247 |       3394 |                           concurrent.futures
import time:        49 |         49 |                             _heapq
import time:       230 |        279 |                           heapq
import time:       571 |        571 |                             signal
import time:        70 |         70 |                             fcntl
import time:       290 |        290 |                             msvcrt
import time:        29 |         29 |                             _posixsubprocess
import time:       693 |       1651 |                           subprocess
import time:       700 |        700 |                             _ssl
import time:      2227 |       2927 |                           ssl
import time:       244 |        244 |                           asyncio.constants
import time:       126 |        126 |                           asyncio.coroutines
import time:        33 |         33 |                               _contextvars
import time:       122 |        154 |                             contextvars
import time:       118 |        118 |                             asyncio.format_helpers
import time:       134 |        134 |                               asyncio.base_futures
import time:       167 |        167 |                               asyncio.exceptions
import time:       123 |        123 |                               asyncio.base_tasks
import time:       144 |        567 |                             _asyncio
import time:       493 |       1331 |                           asyncio.events
import time:       210 |        210 |                           asyncio.futures
import time:       242 |        242 |                           asyncio.protocols
import time:       213 |        213 |                             asyncio.transports
import time:        88 |         88 |                             asyncio.log
import time:       564 |        864 |                           asyncio.sslproto
import time:        93 |         93 |                               asyncio.mixins
import time:       398 |        398 |                               asyncio.tasks
import time:       403 |        894 |                             asyncio.locks
import time:       492 |       1385 |                           asyncio.staggered
import time:       142 |        142 |                           asyncio.trsock
import time:      1142 |      13930 |                         asyncio.base_events
import time:       254 |        254 |                         asyncio.runners
import time:       208 |        208 |                         asyncio.queues
import time:       788 |        788 |                         asyncio.streams
import time:       196 |        196 |                         asyncio.subprocess
import time:       137 |        137 |                         asyncio.taskgroups
import time:       337 |        337 |                         asyncio.timeouts
import time:        98 |         98 |                         asyncio.threads
import time:       200 |        200 |                           asyncio.base_subprocess
import time:       474 |        474 |                           asyncio.selector_events
import time:       575 |       1248 |                         asyncio.unix_events
import time:       574 |      17765 |                       asyncio
import time:        44 |      17808 |                     asyncio.coroutines
import time:     26834 |      44641 |                   pydantic_core.core_schema
import time:     25929 |      84663 |                 pydantic_core
import time:     18846 |     103508 |               pydantic.version
import time:     39535 |     143043 |             pydantic._migration
import time:     22795 |      22795 |                 typing_inspection
import time:     21283 |      21283 |                 typing_inspection.typing_objects
import time:     20147 |      64225 |               typing_inspection.introspection
import time:     23795 |      23795 |               pydantic._internal
import time:     16317 |      16317 |                   pydantic._internal._namespace_utils
import time:     17777 |      34094 |                 pydantic._internal._typing_extra
import time:     20743 |      54836 |               pydantic._internal._repr
import time:     18819 |     161673 |             pydantic.errors
import time:     22754 |     327468 |           pydantic
import time:     19007 |      19007 |               pydantic._internal._internal_dataclass
import time:     16488 |      35494 |             pydantic.aliases
import time:     20720 |      20720 |               pydantic.warnings
import time:     18376 |      39095 |             pydantic.config
import time:     16082 |      90671 |           pydantic._internal._config
import time:     16630 |      16630 |             pydantic._internal._core_utils
import time:     23018 |      23018 |               pydantic._internal._import_utils
import time:     16685 |      39703 |             pydantic._internal._utils
import time:     21261 |      77593 |           pydantic._internal._decorators
import time:     27698 |      27698 |               pydantic.plugin
import time:     19418 |      47115 |             pydantic.plugin._schema_validator
import time:     18962 |      18962 |                 pydantic._internal._forward_ref
import time:     19582 |      38544 |               pydantic._internal._generics
import time:     20820 |      20820 |               pydantic._internal._docs_extraction
import time:     19499 |      78862 |             pydantic._internal._fields
import time:     21813 |      21813 |               pydantic.annotated_handlers
import time:     23976 |      23976 |               pydantic.functional_validators
import time:     17529 |      17529 |                 pydantic._internal._core_metadata
import time:     18344 |      18344 |                 pydantic._internal._mock_val_ser
import time:     18555 |      18555 |                 pydantic._internal._schema_generation_shared
import time:     26601 |      81028 |               pydantic.json_schema
import time:     18615 |      18615 |               pydantic._internal._discriminated_union
import time:     16280 |      16280 |               pydantic._internal._known_annotated_metadata
import time:     15765 |      15765 |               pydantic._internal._schema_gather
import time:     18677 |     196152 |             pydantic._internal._generate_schema
import time:     18439 |      18439 |             pydantic._internal._signature
import time:     18676 |     359241 |           pydantic._internal._dataclasses
import time:     32782 |      32782 |             annotated_types
import time:     23347 |      23347 |             pydantic._internal._validators
import time:     22884 |      22884 |             pydantic.types
import time:     19469 |      98480 |           pydantic.fields
import time:     17226 |     970677 |         pydantic.dataclasses
import time:     18097 |      18097 |         pydantic._internal._model_construction
import time:     16804 |      16804 |         pydantic.plugin._loader
import time:   2958031 |    4477395 |       endo_pipeline.configs.dataset_config
import time:     26152 |      26152 |           yaml.error
import time:     18515 |      18515 |           yaml.tokens
import time:     21723 |      21723 |           yaml.events
import time:     20578 |      20578 |           yaml.nodes
import time:     20612 |      20612 |             yaml.reader
import time:     18390 |      18390 |             yaml.scanner
import time:     18635 |      18635 |             yaml.parser
import time:     19042 |      19042 |             yaml.composer
import time:     19275 |      19275 |             yaml.constructor
import time:     21999 |      21999 |             yaml.resolver
import time:     17810 |     135759 |           yaml.loader
import time:     20869 |      20869 |             yaml.emitter
import time:     19124 |      19124 |             yaml.serializer
import time:     22296 |      22296 |             yaml.representer
import time:     16946 |      79234 |           yaml.dumper
import time:      8652 |       8652 |             yaml._yaml
import time:     18844 |      27496 |           yaml.cyaml
import time:     24830 |     354284 |         yaml
import time:     18580 |      18580 |               mashumaro.codecs._builder
import time:     22230 |      40809 |             mashumaro.codecs.basic
import time:     28512 |      69320 |           mashumaro.codecs
import time:     19482 |      88802 |         mashumaro.codecs.yaml
import time:     18421 |     461506 |       endo_pipeline.configs.dataset_config_io
import time:      9634 |       9634 |         endo_pipeline.settings.workflow_defaults
import time:     13741 |      23374 |       endo_pipeline.configs.dataset_config_utils
import time:     22602 |      22602 |       endo_pipeline.configs.model_config
import time:     18828 |      18828 |       endo_pipeline.configs.model_config_io
import time:     18410 |      18410 |       endo_pipeline.configs.model_config_utils
import time:     21565 |    5043677 |     endo_pipeline.configs
import time:     19295 |    5062971 |   endo_pipeline.settings.plot_defaults
import time:     22218 |    5173060 | endo_pipeline.settings
import time:     18795 |      18795 |       rich._extension
import time:     28418 |      47213 |     rich
import time:       125 |        125 |       termios
import time:       168 |        292 |     getpass
import time:       866 |        866 |       html.entities
import time:       326 |       1191 |     html
import time:     20787 |      20787 |     rich._null_file
import time:     18526 |      18526 |     rich.errors
import time:       127 |        127 |             colorsys
import time:     17668 |      17668 |                 rich.color_triplet
import time:     16029 |      33697 |               rich.palette
import time:     27602 |      61298 |             rich._palettes
import time:     20112 |      20112 |             rich.repr
import time:     18706 |      18706 |             rich.terminal_theme
import time:     19303 |     119545 |           rich.color
import time:     20523 |     140068 |         rich.style
import time:     18778 |     158845 |       rich.default_styles
import time:      1570 |       1570 |         configparser
import time:     18005 |      19575 |       rich.theme
import time:     19945 |     198364 |     rich.themes
import time:     22954 |      22954 |       rich._emoji_codes
import time:     20247 |      43200 |     rich._emoji_replace
import time:     20090 |      20090 |     rich._export_format
import time:     18648 |      18648 |     rich._fileno
import time:     20358 |      20358 |         rich._loop
import time:     18685 |      18685 |         rich._pick
import time:     19026 |      19026 |             rich._cell_widths
